Event Percentage_180 Percentage_150 Percentage_100 Percentage_50 Percentage_25 Model tE err_tE I_baseline t0 piEE err_piEE piEN err_piEN Extinction RA Dec chi2/dof
MOA-2008-BLG-238 0.742992345237172 0.8915541023472527 0.993103220481131 0.999944412300769 1.0 PS* 0.049770387406581545 0.00406031492314381 NA 4615.131359279224 NA NA NA NA 2.272 268.129125 -29.650222222222222 5.601122131467826
MOA-2000-BLG-003 0.6983415308093599 0.8397343670984735 0.9714083794822646 0.9990893399083898 0.9999730387678549 PS 3.0447643052483913 0.2885615983294116 NA 1692.2901272895592 NA NA NA NA 1.878 268.6240416666666 -28.93313888888889 1.3524697449701397
OGLE-1999-BUL-20 0.6800057634364715 0.8253823274502433 0.9663743903465597 0.9988367658319238 0.9999586536594212 PS 3.994390974378134 1.1480289829802806 15.249163304321131 1317.072964788238 NA NA NA NA 1.904 268.15349999999995 -30.191833333333335 8.522542757598508
MOA-2000-BLG-007 0.6798004165089037 0.8289222032783204 0.9688127020770562 0.9992393265999833 0.9999813535729292 PS 3.3736507258634707 0.16897674564237122 NA 1725.7586153787581 NA NA NA NA 1.46 268.7361666666666 -29.52986111111111 1.720993645051862
MOA-2001-BLG-054 0.6760369682888713 0.8258227492155836 0.9673703960552194 0.9995908445648087 1.0 BS 0.01416371999420027 1.8808155802717332 NA 2219.537167205287 NA NA NA NA 1.295 268.64083333333326 -29.862055555555557 4.878856456564113
OGLE-1999-BUL-34 0.6201619230427394 0.7813866767586045 0.9552072485191867 0.9984130907879997 0.9999692499450052 PS 5.822450237648525 0.1322261541471218 16.40140981200911 1369.6413611437572 NA NA NA NA 2.274 268.20254166666666 -29.543083333333335 3.4542623935885577
OGLE-2005-BLG-100 0.6159253816310174 0.7880043462985922 0.9609692209600318 0.9991244548504913 0.9999942140834849 PS 0.9041842728397649 0.40507706524484427 17.466025996751423 3453.14989890702 NA NA NA NA 2.536 268.1274583333333 -29.51125 2.351535112668582
OGLE-2000-BUL-52 0.6159039181241573 0.782235514837006 0.9554731452872086 0.9983353560541262 0.9999531782764216 PS 4.434201095438773 1.532902455396438 17.701275900294704 1752.9712777082282 NA NA NA NA 1.521 268.861 -29.632194444444444 2.162918528629911
OGLE-1999-BUL-41 0.5952950508831341 0.7610612773734254 0.9514384242525568 0.9983014969845357 0.9999680485228458 PS 6.158017756036058 0.31174258074644323 15.630989405684556 1397.7839818302548 NA NA NA NA 1.424 268.75029166666667 -29.58436111111111 2.9247282817046645
OGLE-1998-BUL-17 0.561533980954655 0.7335310745041265 0.9359719813712981 0.9977474707707823 0.9999493599208811 BS 8.82673972330172 1.605496786781426 16.351790135462227 949.6463575526318 NA NA NA NA 1.681 269.44833333333327 -29.065083333333334 2.332005594090989
OGLE-1998-BUL-35 0.5562686472672965 0.7296882716859774 0.9369308388112242 0.9972674796244899 0.9999286421487741 PS 8.173275796556034 0.22669363506724108 18.57684890062664 1059.5371679436457 NA NA NA NA 2.385 269.10754166666663 -30.449 2.20699134467942
MOA-2009-BLG-450 0.5369481555492732 0.7682776298956783 0.9727458246763779 0.9998728268244275 1.0 PS 0.1373719970225832 0.016287552864233563 NA 5064.017015548995 NA NA NA NA 1.458 268.82037083333336 -29.430091 2.6156621666396846
MOA-2001-BLG-042 0.5367565221930652 0.7198116180823948 0.9396004959558988 0.997685816248306 0.9999758542465532 PS 5.298810588561845 0.4291447012285182 NA 2159.6747572585637 NA NA NA NA 1.766 268.75191666666666 -28.695666666666668 3.534625469304818
OGLE-1998-BUL-18 0.5258416094875817 0.7010533728952874 0.9237046108262568 0.9967718081276884 0.9999154407085495 PS 10.096643629613016 1.294446832396357 15.464849210451437 970.7382145458972 NA NA NA NA 1.378 268.59079166666663 -29.89 1.3157514900393286
OGLE-2002-BLG-070 0.5250116603037721 0.7094197611148697 0.9311171130914984 0.9971868837808197 0.9999077165519296 BS 5.095638994086142 0.8141479482598883 15.855464998112232 2387.6206961128905 NA NA NA NA 3.318 267.58395833333327 -29.892666666666667 2.13956908057631
OGLE-2002-BLG-328 0.5232187385370247 0.7099116497588968 0.9352247611307818 0.9974431054337609 0.9998742094878063 PS 4.72912220005617 0.3443429162154571 17.22493001760377 2517.6189688573604 NA NA NA NA 2.899 268.0745 -29.180500000000002 1.8423426964915224
MOA-2002-BLG-002 0.5138309178880706 0.7026049387766768 0.9318920518499977 0.9972461510110178 0.9999357493634534 PS 4.905983200129511 2.4482056871745814 NA 2343.7079970382947 NA NA NA NA 1.789 269.0315833333333 -29.496055555555557 1.641006813046261
OGLE-1998-BUL-20 0.5119484711001383 0.6834643054001021 0.9099140448161751 0.9946758369423888 0.9998706464030026 PS 11.655166317467671 3.1795664798513656 16.820393835412773 967.2214104852842 NA NA NA NA 3.039 267.45479166666667 -29.81952777777778 1.3019538383361162
OGLE-2002-BLG-354_OGLE-2002-BLG-361 0.504043342895185 0.6995831828803388 0.933291403377417 0.9976461103207321 0.9999433473926739 PS 4.305131267878249 0.31513355592844466 16.455388870473826 2544.7299949081525 NA NA NA NA 2.331 269.0024583333333 -30.402083333333334 6.93489146802152
