Event t0(HJD) err_t0 theta_E(mas) err_theta_e mu_rel_Hel_N delta_mu_N mu_rel_hel_E delta_mu_E mod_mu_rel_hel err_mu_rel_hel delta_theta err_delta_theta Method
OGLE-2005-BLG-390 3582.735 0.005 0.218 0.049 0.0 0.0 0.0 0.0 7.22 1.803453792238187 0.14182560125727026 0.0354260274826704 FS
MOA-2013-BLG-260_OGLE-2013-BLG-0341_M2 6409.148 0.018 0.8 0.0 8.118343112050342 0.7612720512441613 6.939373539090165 0.6733727842180605 10.68 0.7254628915274788 0.12714687405759265 0.0086367358683312 PX
MOA-2013-BLG-260_OGLE-2013-BLG-0341_M1 6409.362 0.078 1.0 0.0 5.676134952805529 0.7274270832168996 9.04676140934088 0.8758475647403102 10.68 0.8365967918919504 0.12714061664486165 0.0099593103739092 PX
KMT-2016-BLG-0212_M2 7465.316 0.192 0.64 0.21 0.0 0.0 0.0 0.0 13.2 4.338545353916013 0.11897830071903744 0.039105512267226 FS
OGLE-2015-BLG-1771_M3 7235.51 0.01 0.072 0.01 0.0 0.0 0.0 0.0 10.4 1.4564063612436364 0.10028389454946499 0.0140436636521294 FS
KMT-2016-BLG-0212_M3 7465.25 0.197 0.53 0.16 0.0 0.0 0.0 0.0 10.9 3.323046442978552 0.09824920277936446 0.0299529055146944 FS
KMT-2016-BLG-0372_OGLE-2016-BLG-1195_MOA-2016-BLG-350_M1 7568.771 0.001 0.290 0.013 0.437 0.600 10.505 3.676 11.131 0.458 0.09717656053681412 0.0039984605810038 HR
KMT-2016-BLG-0372_OGLE-2016-BLG-1195_MOA-2016-BLG-350_M2 7568.771 0.001 0.289 0.008 0.351 0.383 10.393 3.592 10.995 0.355 0.09598924473113568 0.003099243463498 HR
OGLE-2015-BLG-1771_M2 7235.62 0.01 0.114 0.02 0.0 0.0 0.0 0.0 9.2 1.7175915119529612 0.08870990524260708 0.0165616717704864 FS
KMT-2016-BLG-0212_M4 7465.276 0.189 0.47 0.16 0.0 0.0 0.0 0.0 9.8 3.318021991912533 0.08833344801376361 0.0299073803412591 FS
MOA-2012-BLG-323_OGLE-2012-BLG-0724_M2 6071.0381 0.001 0.242 0.029 0.0 0.0 0.0 0.0 6.55 1.2081165106840437 0.0840419527192803 0.01550114056036 FS
MOA-2012-BLG-323_OGLE-2012-BLG-0724_M1 6071.0381 0.001 0.239 0.028 0.0 0.0 0.0 0.0 6.52 1.1720949867203736 0.08365702774499353 0.015038954420844 FS
OGLE-2015-BLG-1771_M1 7235.6 0.01 0.1 0.018 0.0 0.0 0.0 0.0 8.5 1.593931485056315 0.08196070397399903 0.0153693819548838 FS
OGLE-2006-BLG-109 3831.02 0.011 1.505 0.043 -3.9332922089299465 0.1771319111598699 1.7301506868394383 0.1151669267130611 4.297 0.1686396906315756 0.08148688051297145 0.0031980270727229 FS-PX
KMT-2016-BLG-1820 7632.19 0.02 0.123 0.012 0.0 0.0 0.0 0.0 9.341 1.0409491276347271 0.07992749500943461 0.0089070181288172 FS-PX
MOA-2014-BLG-175_OGLE-2014-BLG-0676 6777.335 0.058 1.38 0.43 0.0 0.0 0.0 0.0 7.254910211440301 6.8755505851070815 0.07905745995656005 0.0749235413373573 PX
KMT-2016-BLG-2142 7612.54 0.04 0.122 0.013 0.0 0.0 0.0 0.0 8.622 1.070970363309766 0.07423912992542099 0.0092215156999341 FS-PX
KMT-2016-BLG-0212_M1 7463.052 0.249 0.42 0.13 0.0 0.0 0.0 0.0 8.1 2.510260891083129 0.07305961960773863 0.0226418162065344 FS
MOA-2014-BLG-547_OGLE-2014-BLG-1760 6905.856 0.026 0.29 0.05 0.0 0.0 0.0 0.0 6.55 1.14189081943347 0.06907122788697367 0.0120414963466043 FS
MOA-2013-BLG-618_OGLE-2013-BLG-1721 6535.28 0.022 0.42 0.09 0.0 0.0 0.0 0.0 5.5 1.3482925227208922 0.06357894083690215 0.015586001918595 FS
KMT-2017-BLG-0016_OGLE-2017-BLG-1392_OGLE-2017-BLG-1434_MOA-2017-BLG-425 7984.977 0.004 1.4 0.09 -6.308198820192767 0.5234698861959048 5.081006558244003 0.5357473184953012 8.1 0.5283349315328774 0.06148510215393985 0.0040104601536716 PX
MOA-2011-BLG-293 5747.493 0.001 0.26 0.02 0.0 0.0 0.0 0.0 4.3 0.6894255519502765 0.05898159793661505 0.009456609467998 HR
KMT-2021-BLG-1253_M4 9374.41 0.001 0.405 0.063 0.0 0.0 0.0 0.0 15.5 3.519493875656167 0.05869374335412452 0.0133272432435627 FS
KMT-2019-BLG-3289_OGLE-2019-BLG-0954 8662.096 0.14 0.8 0.0 0.0 0.0 0.0 0.0 10.2 0.0 >0.05851640616510275 3.9096509240246405e-06 FS
KMT-2015-BLG-0186_OGLE-2015-BLG-1670_OGLE-2015-BLG-1673_MOA-2015-BLG-379 7223.3454 0.0036 0.395 0.072 0.0 0.0 0.0 0.0 6.0 1.6014141484040665 0.058055922167417603 0.0154952625263708 FS
KMT-2021-BLG-1253_M1 9374.41 0.001 0.399 0.062 0.0 0.0 0.0 0.0 15.2 3.4643886327826108 0.057557735418238234 0.0131185765995169 FS
KMT-2017-BLG-1726_OGLE-2017-BLG-0640 7887.917 0.03 0.248 0.181 0.0 0.0 0.0 0.0 7.2 2.642434473010321 0.05656672187810852 0.0207602577745203 PX
KMT-2017-BLG-1707_OGLE-2017-BLG-0173_M2 7837.946 0.059 0.54 0.03 0.0 0.0 0.0 0.0 6.5 0.6226050058182409 0.05195646489423697 0.0049766701304167 PX
KMT-2019-BLG-0842_OGLE-2019-BLG-0763_MOA-2019-BLG-232 8625.914 0.01 1.01 0.17 0.0 0.0 0.0 0.0 8.42 5.241183145754241 0.0491388125216915 0.0305873534439882 FS
KMT-2017-BLG-0243_OGLE-2017-BLG-0406_MOA-2017-BLG-233 7908.813 0.001 0.593 0.012 5.1 1.0 3.39 0.37 6.123895818839507 0.8576203342343797 0.0477619721786385 0.0066888202796742 FS-PX
KMT-2017-BLG-1707_OGLE-2017-BLG-0173_M3 7838.011 0.059 0.53 0.03 0.0 0.0 0.0 0.0 5.9 0.551011480902088 0.047159433553607466 0.0044043033778395 PX
MOA-2015-BLG-281_OGLE-2015-BLG-0966_OGLE-2015-BLG-1337 7205.196 0.002 0.76 0.07 -0.7988289651463488 0.3985166278377058 -4.733061618492116 0.4973957853945484 4.8 0.4949232408411156 0.04668325140949876 0.0048134637668612 PX
KMT-2017-BLG-1707_OGLE-2017-BLG-0173_M1 7838.031 0.059 0.48 0.03 0.0 0.0 0.0 0.0 5.7 0.5184618812539991 0.04556049657239375 0.0041441019906693 PX
KMT-2018-BLG-2087_OGLE-2018-BLG-0932_OGLE-2018-BLG-0982_MOA-2018-BLG-163 8301.142 0.047 0.458 0.033 0.0 0.0 0.0 0.0 6.22 1.193444528090915 0.04183037551615722 0.0080260824784526 PX-FS
MOA-2019-BLG-008_OGLE-2019-BLG-0011_M1 8547.5 0.4 1.4 0.3 6.3 1.0 0.0 0.0 6.842973948747445 1.0356529519034914 0.04140443562876568 0.0062663773040679 PX
MOA-2019-BLG-008_OGLE-2019-BLG-0011_M3 8546.7 0.2 1.4 0.25 6.3 0.9 0.0 0.0 6.803522602608116 0.9216188412836808 0.041180630992081295 0.0055784122576469 PX
OGLE-2012-BLG-0406 6141.33 0.05 0.53 0.05 -2.91 0.26 1.31 0.16 3.191269339933564 0.2460137050503541 0.04033248654369758 0.0031092156410267 FS-PX
KMT-2016-BLG-1816_MOA-2016-BLG-319 7552.74 0.01 0.107 0.0 0.0 0.0 0.0 0.0 4.49 0.13 >0.039395950395941265 0.0011406399958162 FS
MOA-2019-BLG-008_OGLE-2019-BLG-0011_M2 8547.5 0.4 1.2 0.1 5.7 0.45 0.0 0.0 6.146781056491053 0.4605163698051769 0.03719201658281706 0.0027864311883017 PX
MOA-2019-BLG-008_OGLE-2019-BLG-0011_M4 8546.7 0.2 1.3 0.15 5.6 0.55 0.0 0.0 6.026483099318249 0.5607304590688874 0.03647733551997051 0.003394013128792 PX
KMT-2021-BLG-1253_M3 9374.41 0.001 0.244 0.034 0.0 0.0 0.0 0.0 9.4 1.855273756167724 0.0355949153244368 0.0070253523675407 FS
KMT-2021-BLG-1253_M2 9374.41 0.001 0.25 0.036 0.0 0.0 0.0 0.0 9.0 1.8625304666049023 0.03408023807658843 0.0070528313030202 FS
KMT-2018-BLG-0945_OGLE-2018-BLG-0596_MOA-2018-BLG-145_M1 8277.14 0.015 0.336 0.034 -0.44 0.5 4.53 0.46 4.551318490283888 0.4603899332437297 0.03090734234619811 0.0031264411258656 FS-PX
KMT-2016-BLG-1836 7487.69 0.07 0.478 0.176 3.266833329081849 1.1917245450396663 0.4666904755831212 0.685683725379274 3.2999999999999994 1.1837256805738396 0.029542428157172087 0.0105970093752823 PX
MOA-2013-BLG-551_OGLE-2013-BLG-0911_M1 6537.313 0.0005 0.67 0.09 2.533744498628541 0.3292134402174136 0.1781539100598192 0.063403409277721 2.54 0.328432763430167 0.02934777309057229 0.0037947914238827 FS-PX
MOA-2013-BLG-651_OGLE-2013-BLG-1761_M1 6565.22 0.06 0.251 0.097 0.0 0.0 0.0 0.0 2.55 1.0170941440246912 0.029268482239427632 0.0116740399644614 FS
MOA-2013-BLG-551_OGLE-2013-BLG-0911_M2 6537.3123 0.0005 0.68 0.15 2.499987716406213 0.5999970700537227 0.0078369520890476 0.0470718368571232 2.5 0.5999941401507224 0.028885608226841525 0.0069324782683186 FS-PX
KMT-2018-BLG-0945_OGLE-2018-BLG-0596_MOA-2018-BLG-145_M2 8277.14 0.015 0.324 0.033 0.64 0.57 3.98 0.43 4.031128874149275 0.4340839337483726 0.027374810271123082 0.002947800905857 FS-PX
KMT-2021-BLG-0171_M1 9326.2338 0.0003 0.86 0.11 -6.666222284368296 0.869390110536328 -1.34219240624865 1.242941308432933 6.800000000000001 0.8868937839983402 0.026646428093641397 0.0034753752120646 PX
KMT-2021-BLG-0171_M2 9326.2338 0.0003 0.79 0.06 -6.3350777464842105 1.028044667257168 -1.8511590817648669 2.919166748274171 6.6000000000000005 1.2822276082106474 0.025862709620299004 0.0050245273179245 PX
KMT-2017-BLG-0078_OGLE-2017-BLG-1375 7969.86 0.02 0.99 0.13 2.886018053103576 -2.0843463716859163 1.7626078459864238 2.402182562407133 3.3817 2.1753 0.02581 0.016602 FS-PX
KMT-2023-BLG-0735 10070.602 0.011 0.697 0.225 0.0 0.0 0.0 0.0 13.17 5.31193530499298 0.024767808919288606 0.0099897493340462 FS
MOA-2013-BLG-651_OGLE-2013-BLG-1761_M2 6565.24 0.064 0.225 0.101 0.0 0.0 0.0 0.0 2.12 0.9627988141794188 0.024332896600454703 0.0110507943423133 FS
KMT-2018-BLG-0945_OGLE-2018-BLG-0596_MOA-2018-BLG-145_M3 8277.13 0.015 0.256 0.027 -1.13 0.36 3.33 0.36 3.516503945682416 0.36 0.023880163457819067 0.0024447175355425 FS-PX
KMT-2021-BLG-0320_M2 9315.615 0.001 0.0 0.0 0.0 0.0 0.0 0.0 5.97188 4.126033 0.023575 0.016288 Bayes
KMT-2021-BLG-0320_M1 9315.615 0.001 0.0 0.0 0.0 0.0 0.0 0.0 5.961075 4.13549 0.023532 0.016326 Bayes
KMT-2018-BLG-0945_OGLE-2018-BLG-0596_MOA-2018-BLG-145_M4 8277.13 0.014 0.276 0.028 -1.14 0.65 3.24 0.33 3.434705227526811 0.3787436066266647 0.023324678012510727 0.0025720031560897 FS-PX
KMT-2022-BLG-2286_M1 9854.695 0.056 0.361 0.055 0.0 0.0 0.0 0.0 8.97 0.2783562757576631 0.022171547755279068 0.0006880269554323 FS
KMT-2018-BLG-0900_OGLE-2018-BLG-0383 8199.239 0.003 0.097 0.011 0.0 0.0 0.0 0.0 3.12 0.8511641543282362 0.021852904216995563 0.0059616694671944 FS
KMT-2021-BLG-0192_MOA-2021-BLG-080_M2 9315.697 0.001 0.4 0.05 4.8120147542032266 0.6135386075555871 0.7492756537686684 0.742074815484279 4.870000000000001 0.616890807841355 0.01922403549255396 0.0024351397916119 FS-PX
KMT-2018-BLG-2122_OGLE-2018-BLG-1011_MOA-2018-BLG-182 8284.801 0.005 0.09 0.01 0.0 0.0 0.0 0.0 2.81 0.360687576532223 0.019023362738003417 0.0024418116029591 FS
KMT-2021-BLG-0192_MOA-2021-BLG-080_M4 9315.697 0.001 0.42 0.05 4.768019681265883 0.6210757502864015 0.63410434398543 0.6781486909912046 4.8100000000000005 0.622112344770853 0.01898718905938081 0.0024557514982346 FS-PX
KMT-2021-BLG-0192_MOA-2021-BLG-080_M3 9315.697 0.001 0.42 0.05 4.7236431006387365 0.5984510962725522 0.587193203118075 0.4897693788098556 4.76 0.5969454966179175 0.018789817031736517 0.0023564068612481 FS-PX
KMT-2021-BLG-0192_MOA-2021-BLG-080_M1 9315.697 0.001 0.4 0.05 4.6265688606980095 0.6167917897562807 0.7687396029993028 1.0488422267101247 4.69 0.6322707812118081 0.01851349619303451 0.0024958513221933 FS-PX
KMT-2023-BLG-1454 10125.7451 0.002 0.174 0.018 0.0 0.0 0.0 0.0 9.87 1.335448183914819 0.01707164278265042 0.0023098575842728 FS
KMT-2017-BLG-0314_OGLE-2017-BLG-1275 7946.96 0.02 0.0 0.0 0.0 0.0 6.7 0.0 2.2 0.0 0.016929 1.204654e-07 PX
KMT-2021-BLG-0240_M2 9313.05 0.005 0.44 0.09 0.0 0.0 0.0 0.0 3.91 0.9597986242396116 0.015462828687724712 0.0037957037603085 FS
KMT-2021-BLG-2478_M1 9482.104 0.017 0.45 0.04 1.176683942793833 2.937968525062401 4.135869303879313 0.9196369655914656 4.3 1.1953096052386978 0.015014924972891593 0.0041738335029461 PX
KMT-2021-BLG-2478_M2 9482.104 0.017 0.45 0.04 0.9641872855449533 2.916382265497094 4.190506279483835 0.7757611674170546 4.3 0.999591810369306 0.015014924972891593 0.0034904176885778 PX
KMT-2020-BLG-0579_MOA-2020-BLG-135 9040.4879 0.002 0.133 0.0185 0.0 0.0 0.0 0.0 2.88 0.4338233053312623 0.013538655371366611 0.0020393695219176 FS
KMT-2021-BLG-0240_M1 9313.048 0.004 0.35 0.05 0.0 0.0 0.0 0.0 3.06 0.5936614234816018 0.012101360946040059 0.0023477487470662 FS
KMT-2022-BLG-2286_M2 9854.7088 0.056 0.185 0.023 0.0 0.0 0.0 0.0 4.59 0.5844692548121062 0.011345133624398903 0.0014446367280961 FS
